Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
1302;2;Ankers;ANKER.Count;266;st;-;1;1;266;0;16803.8722115385;;19660.5304875
130201;3;Maatvoeren van ankers;ANKER.Count*0.32;85.12;uur;-;1;1.15;97.888;85;8320.48;WDD;9734.9616
130202;3;Stellen van ankers;ANKER.Count/3.25;81.8461538461538;uur;-;1;1.15;94.1230769230769;45;4235.53846153846;UIT-A;4955.58
130203;3;Ankervoorziening per m1;ANKER.Count;266;st;-;1;1.02;271.32;8;2170.56;MAT-A;2539.5552
130204;3;Inmeten ankers;ANKER.Count/20;13.3;uur;-;1;1.05;13.965;85;1187.025;WDD;1388.81925
130205;3;Reistijd maatvoerders;ANKER.Count/80*3;9.975;uur;-;1;1.05;10.47375;85;890.26875;WDD;1041.6144375
14;1;EXTRA WAPENING;1;1;pst;-;1;1;1;0;8732.44692307692;;10216.9629
1401;2;Splijtwapening;1;1;pst;-;1;1;1;0;2364.96615384615;;2767.0104
140101;3;Engineering;8;8;uur;-;1;1.05;8.4;78;655.2;ENG-A;766.584
140102;3;Wapening;(ANKER.Count*0.2)*20;1064;kg;-;1;1;1064;1.5;1709.76615384615;;2000.4264
14010201;4;Wapening;(ANKER.Count*0.2)*20;1064;kg;-;1;1.1;1170.4;0.8;936.32;MAT-A;1095.4944
14010202;4;Aanbrengen;((ANKER.Count*0.2)*20)/65;16.3692307692308;uur;-;1;1.05;17.1876923076923;45;773.446153846154;UIT-A;904.932
1402;2;Vloerstroken (Ø10-150 + 2Ø10 v/a);KOPPELING VLOER.Length*12;1726.2;kg;-;1;1;1726.2;0;3153.63461538461;;3689.7525
140201;3;Wapening;KOPPELING VLOER.Length*12;1726.2;kg;-;1;1.1;1898.82;1;1898.82;MAT-A;2221.6194
140202;3;Aanbrengen;(KOPPELING VLOER.Length*12)/65;26.5569230769231;uur;-;1;1.05;27.8847692307692;45;1254.81461538462;UIT-A;1468.1331
1405;2;Extra wapening overig;2000;2000;kg;-;1;1;2000;0;3213.84615384615;;3760.2
140501;3;Wapening;Parent.Quantity;2000;kg;-;1;1.1;2200;0.8;1760;MAT-A;2059.2
140502;3;Aanbrengen;Parent.Quantity/65;30.7692307692308;uur;-;1;1.05;32.3076923076923;45;1453.84615384615;UIT-A;1701
15;1;DRUKLAGEN;DRUKLAAG.Net Top Surface Area;15620.7238513005;m2;-;1;1;15620.7238513005;0;451982.767836414;;528819.838368605
1501;2;Engineering en uitvoering;1;1;pst;-;1;1;1;0;10980;;12846.6
150101;3;Engineering;100;100;uur;-;1;1;100;0;8580;;10038.6
15010101;4;Werkvoorbereiding / begeleiding;40;40;uur;-;1;1.1;44;78;3432;ENG-A;4015.44
15010103;4;Modelleren;30;30;uur;-;1;1.1;33;78;2574;ENG-A;3011.58
15010104;4;Tekenen;30;30;uur;-;1;1.1;33;78;2574;ENG-A;3011.58
1502;2;Druklagen;DRUKLAAG.Net Top Surface Area;15620.7238513005;m2;-;1;1;15620.7238513005;0;441002.767836414;;515973.238368605
150201;3;Randkist;1;1;pst;-;1;1;1;0;3622.5;;4238.325
15020102;4;Randkist;120;120;m1;-;1;1;120;0;3622.5;;4238.325
1502010201;5;Materiaal ;120;120;m1;-;1;1.05;126;10;1260;MAT-A;1474.2
1502010202;5;Aanbrengen;50;50;uur;-;1;1.05;52.5;45;2362.5;UIT-A;2764.125
16;1;NADEN;NAAD.Net Volume+(KANAALPLAAT.Count*0.115);386.184080266571;m3;-;1;1;386.184080266571;0;176785.634774686;;206839.192686383
1601;2;Post losse wapening;30000;30000;kg;-;1;1;30000;2;62386.3636363636;;72992.0454545454
160101;3;Wapening;Parent.Quantity;30000;kg;-;1;1.1;33000;1.5;49500;MAT-A;57915
160102;3;Manuren;30000/110;272.727272727273;uur;-;1;1.05;286.363636363636;45;12886.3636363636;UIT-A;15077.0454545455
1602;2;Dichtzetten vloer ;1;1;pst;-;1;1;1;0;39820;;46589.4
160201;3;Materiaal dichtzetten;1;1;pst;-;1;1.1;1.1;15000;16500;MAT-A;19305
160202;3;Materieel dichtzetten;1;1;pst;-;1;1.1;1.1;5000;5500;MAT-E;6435
160203;3;Uren dichtzetten;360;360;uur;-;1;1.1;396;45;17820;UIT-A;20849.4
1603;2;Storten en afwerken;1;1;pst;-;1;1;1;0;74579.2711383225;;87257.7472318373
160301a;3;Beton naden;NAAD.Net Volume;238.984080266571;m3;-;1.15;1.2;329.798030767868;91;30011.620799876;MAT-A;35113.5963358549
160301b;3;Beton hamerkopsparingen;KANAALPLAAT.Count*0.115;147.2;m3;-;1.15;1.2;203.136;91;18485.376;MAT-A;21627.88992
160302a;3;Toeslag beton naden;NAAD.Net Volume;238.984080266571;m3;-;1.15;1.2;329.798030767868;4.5;1484.0911384554;MAT-A;1736.38663199282
160302b;3;Toeslag beton hamerkopsparingen;KANAALPLAAT.Count*0.115;147.2;m3;-;1.15;1.2;203.136;4.5;914.112;MAT-A;1069.51104
160303a;3;Pompkosten naden;NAAD.Net Volume;238.984080266571;m3;-;1.15;1.2;329.798030767868;6.5;2143.68719999114;MAT-E;2508.11402398963
160303b;3;Pompkosten hamerkopsparingen;KANAALPLAAT.Count*0.115;147.2;m3;-;1.15;1.2;203.136;6.5;1320.384;MAT-A;1544.84928
160304;3;Aanvoerkosten betonpomp;10;10;st;-;1;1.02;10.2;1400;14280;MAT-E;16707.6
160305;3;Uren storten;10*12;120;uur;-;1;1.1;132;45;5940;UIT-A;6949.8
18;1;PREFAB (ALLEEN LEVEREN KPV BG);1;1;pst;-;1;1;1;0;33973.56925;;39749.0760225
1807;2;Kanaalplaatvloeren;432.19;432.19;m2;-;1;1;432.19;0;33973.56925;;39749.0760225
180701;3;Leveren;432.19;432.19;m2;-;1;1;432.19;0;29457.18375;WDD;34464.9049875
18070101;4;Leveren;432.19;432.19;m2;-;1;1.06;458.1214;60;27487.284;;32160.12228
18070102;4;Voorzieningen;1;1;pst;-;1;1;1;0;1969.89975;;2304.7827075
1807010201;5;Sparingen;100;100;st;-;1;1.05;105;10;1050;;1228.5
1807010202;5;Kruipsparing;5;5;st;-;1;1.05;5.25;52;273;;319.41
1807010203;5;Deksels;432.19;432.19;m2;-;1;1.05;453.7995;0.5;226.89975;;265.4727075
1807010204;5;Klemhuur;1;1;pst;-;1;1.05;1.05;400;420;;491.4
180702;3;Leggen;432.19;432.19;m2;-;1;1.1;475.409;9.5;4516.3855;WDD;5284.171035
20;1;AANVOERKOSTEN MATERIEEL;1;1;pst;-;1;1;1;0;707.965;;828.31905
2001;2;Aanvoerkosten materieel;1;1;pst;-;1;1;1;707.965;707.965;MAT-E;828.31905
21;1;KLANTKORTING;-1;-1;pst;-;1;1;-1;65677.705;-65677.705;CK;-76842.91485
